left_eye,right_eye,nose,ear,class
5.15,3.49,1.46,0.35,cyphon
4.88,2.98,1.56,0.28,cyphon
4.65,3.25,1.25,0.15,cyphon
4.62,2.91,1.33,0.14,cyphon
4.90,3.63,1.31,0.06,cyphon
5.55,3.88,1.71,0.26,cyphon
4.55,3.41,1.28,0.34,cyphon
4.94,3.37,1.44,0.39,cyphon
4.40,2.79,1.48,0.08,cyphon
4.92,2.90,1.37,0.12,cyphon
5.47,3.72,1.49,0.17,cyphon
4.65,3.33,1.55,0.31,cyphon
4.83,2.82,1.43,0.06,cyphon
4.23,3.06,1.20,0.19,cyphon
5.72,3.97,1.23,0.30,cyphon
5.65,4.38,1.39,0.28,cyphon
5.48,4.04,1.29,0.50,cyphon
5.14,3.44,1.44,0.45,cyphon
5.70,3.96,1.44,0.38,cyphon
5.11,3.77,1.51,0.10,cyphon
5.38,3.44,1.85,0.15,cyphon
5.02,3.65,1.59,0.43,cyphon
4.55,3.65,1.01,0.30,cyphon
5.03,3.27,1.66,0.35,cyphon
4.83,3.43,1.90,0.18,cyphon
4.86,2.96,1.57,0.12,cyphon
4.98,3.44,1.79,0.42,cyphon
5.23,3.49,1.31,0.20,cyphon
5.21,3.65,1.38,0.23,cyphon
4.70,3.08,1.71,0.28,cyphon
4.88,3.01,1.74,0.06,cyphon
5.46,3.62,1.40,0.34,cyphon
5.21,4.05,1.34,0.11,cyphon
5.39,4.25,1.31,0.35,cyphon
4.82,3.07,1.58,0.08,cyphon
5.02,3.33,1.04,0.22,cyphon
5.53,3.58,1.18,0.07,cyphon
4.95,3.63,1.43,0.13,cyphon
4.33,3.02,1.33,0.13,cyphon
5.29,3.45,1.38,0.27,cyphon
4.90,3.58,1.42,0.22,cyphon
4.60,2.34,1.38,0.49,cyphon
4.38,3.12,1.21,0.12,cyphon
4.99,3.53,1.63,0.68,cyphon
5.10,3.95,1.87,0.67,cyphon
4.86,2.91,1.29,0.35,cyphon
5.08,3.87,1.65,0.19,cyphon
4.52,3.05,1.36,0.29,cyphon
5.32,3.58,1.52,0.24,cyphon
4.91,3.32,1.41,0.09,cyphon
7.04,3.26,4.81,1.51,gykoo
6.26,3.11,4.55,1.55,gykoo
6.95,3.49,4.96,1.61,gykoo
5.60,2.37,3.97,1.38,gykoo
6.42,2.78,4.55,1.51,gykoo
5.93,2.61,4.57,1.14,gykoo
6.25,3.41,4.71,1.49,gykoo
4.83,2.47,3.23,1.02,gykoo
6.60,2.83,4.81,1.36,gykoo
5.00,2.72,3.83,1.49,gykoo
4.92,1.99,3.55,1.09,gykoo
5.78,2.97,4.15,1.43,gykoo
6.18,2.24,3.87,1.09,gykoo
6.31,3.00,4.55,1.35,gykoo
5.73,2.83,3.64,1.38,gykoo
6.61,3.09,4.08,1.30,gykoo
5.57,2.88,4.66,1.36,gykoo
5.76,2.71,4.24,0.86,gykoo
6.32,2.20,4.40,1.55,gykoo
5.62,2.44,3.91,1.06,gykoo
5.91,3.27,4.96,1.68,gykoo
6.31,2.60,3.98,1.36,gykoo
6.33,2.44,4.88,1.45,gykoo
6.04,2.88,4.74,1.13,gykoo
6.49,2.93,4.38,1.36,gykoo
6.52,2.94,4.47,1.46,gykoo
6.80,2.81,4.93,1.34,gykoo
6.75,2.98,4.98,1.81,gykoo
6.08,2.98,4.63,1.50,gykoo
5.77,2.57,3.53,0.99,gykoo
5.51,2.46,3.72,1.31,gykoo
5.40,2.28,3.82,1.08,gykoo
5.86,2.76,3.90,1.11,gykoo
6.01,2.63,5.20,1.59,gykoo
5.32,2.97,4.54,1.44,gykoo
5.92,3.42,4.52,1.55,gykoo
6.65,3.12,4.56,1.36,gykoo
6.23,2.28,4.43,1.45,gykoo
5.69,2.98,4.10,1.20,gykoo
5.50,2.47,4.03,1.22,gykoo
5.55,2.75,4.39,1.24,gykoo
6.17,2.96,4.62,1.40,gykoo
5.81,2.52,4.00,1.25,gykoo
5.15,2.40,3.52,0.92,gykoo
5.69,2.72,4.42,1.22,gykoo
5.62,2.94,3.99,1.15,gykoo
5.62,2.92,4.23,1.49,gykoo
6.30,2.84,4.21,1.35,gykoo
4.97,2.68,3.12,1.05,gykoo
5.53,2.94,4.09,1.42,gykoo
6.14,3.24,6.00,2.50,mudee
5.75,2.76,4.99,1.89,mudee
7.11,3.05,5.97,1.99,mudee
6.15,3.03,5.63,1.73,mudee
6.66,3.01,5.92,2.21,mudee
7.81,3.18,6.58,2.20,mudee
4.96,2.64,4.40,1.77,mudee
7.41,2.72,6.18,1.60,mudee
6.67,2.57,5.95,1.81,mudee
7.36,3.46,5.93,2.49,mudee
6.54,3.20,4.89,1.99,mudee
6.27,2.77,5.34,1.81,mudee
6.75,2.89,5.49,2.20,mudee
5.60,2.55,4.95,1.92,mudee
5.79,2.70,5.04,2.28,mudee
6.60,3.20,5.23,2.32,mudee
6.49,2.98,5.56,1.88,mudee
7.65,3.74,6.67,1.97,mudee
7.55,2.74,7.06,2.28,mudee
6.06,2.23,5.31,1.61,mudee
6.89,3.10,5.54,2.32,mudee
5.52,2.66,4.84,1.89,mudee
7.87,2.89,6.70,2.15,mudee
6.31,2.61,5.05,1.85,mudee
6.60,3.28,5.61,1.96,mudee
7.29,3.39,5.86,1.86,mudee
6.13,2.75,4.74,1.71,mudee
6.10,2.92,4.93,1.79,mudee
6.38,2.71,5.54,2.18,mudee
7.25,2.90,5.81,1.68,mudee
7.23,2.85,6.03,1.96,mudee
7.82,3.62,6.24,2.00,mudee
6.43,2.71,5.66,2.03,mudee
6.29,2.68,5.03,1.50,mudee
6.01,2.56,5.70,1.34,mudee
7.78,2.89,6.15,2.44,mudee
6.05,3.32,5.66,2.38,mudee
6.44,3.04,5.51,1.78,mudee
6.12,3.03,4.83,1.76,mudee
6.85,3.06,5.44,2.06,mudee
6.73,3.31,5.69,2.37,mudee
7.02,3.06,4.90,2.20,mudee
5.61,2.66,5.10,2.07,mudee
6.83,3.18,5.98,2.08,mudee
6.72,3.38,5.55,2.61,mudee
6.73,2.96,5.26,2.53,mudee
6.32,2.52,4.95,1.82,mudee
6.58,2.91,5.21,1.95,mudee
6.25,3.43,5.50,2.25,mudee
5.87,2.90,5.06,1.84,mudee
