Date,Mean Pressure,Absolute Daily Max Air Temp.,Mean Air Temp.,Absolute Daily Min Air Temp.,Mean Dew Point,Mean Relative Humidity,Mean Amount of Cloud,Total Rainfall,Very Hot Weather Warning,Cold Weather Warning
2004-11-01,1015.5,27.1,24.5,22.6,20.2,77,27,  0.0,False,False
2004-11-02,1017.6,26.1,24.0,22.2,18.3,71,44,  0.0,False,False
2004-11-03,1018.8,25.1,23.8,22.9,19.3,76,45,  0.0,False,False
2004-11-04,1017.8,24.5,23.1,22.1,18.0,73,34,  0.0,False,False
2004-11-05,1017.2,25.0,23.5,22.3,19.7,79,52,  0.0,False,False
2004-11-06,1017.0,25.4,23.6,22.1,19.2,77,57,  0.0,False,False
2004-11-07,1017.3,25.1,23.8,22.8,19.6,77,45,0.02,False,False
2004-11-08,1017.4,25.1,23.7,22.7,19.7,78,55,  0.0,False,False
2004-11-09,1015.3,25.3,24.2,23.5,21.4,84,87,0.02,False,False
2004-11-10,1014.9,27.0,25.2,24.0,22.8,87,81,0.02,False,False
2004-11-11,1015.9,27.2,25.5,24.5,22.9,85,55,0.02,False,False
2004-11-12,1018.6,27.5,25.5,24.2,21.8,80,72,0.02,False,False
2004-11-13,1018.0,25.3,24.4,23.7,20.6,80,85,0.02,False,False
2004-11-14,1015.8,27.2,25.0,23.5,21.7,82,55,  0.0,False,False
2004-11-15,1017.1,24.5,23.2,20.1,17.9,73,66,  0.0,False,False
2004-11-16,1019.9,21.7,19.8,18.5,14.3,70,86,  0.0,False,False
2004-11-17,1019.9,23.9,20.9,18.9,14.1,65,59,  0.0,False,False
2004-11-18,1019.7,23.0,20.6,18.2, 9.1,48, 4,  0.0,False,False
2004-11-19,1019.5,22.7,20.4,18.3, 9.8,51, 0,  0.0,False,False
2004-11-20,1019.6,22.3,20.4,18.5,14.1,68, 2,  0.0,False,False
2004-11-21,1020.9,22.6,20.8,18.9,15.1,70,18,  0.0,False,False
2004-11-22,1020.5,23.9,21.7,19.4,15.7,69,34,  0.0,False,False
2004-11-23,1019.8,23.2,22.0,20.5,17.1,74,79,0.02,False,False
2004-11-24,1020.4,24.6,22.8,21.3,19.1,80,91,  0.4,False,False
2004-11-25,1020.7,26.0,23.7,21.9,19.4,77,80,  0.0,False,False
2004-11-26,1021.6,23.9,22.2,19.2,15.4,66,71,  0.0,False,False
2004-11-27,1022.3,21.1,19.4,17.8,12.6,65,75,  0.0,False,False
2004-11-28,1020.8,22.9,20.5,18.4,13.9,66, 9,  0.0,False,False
2004-11-29,1019.5,23.8,21.2,19.3,15.9,73,11,  0.0,False,False
2004-11-30,1019.1,22.9,21.2,19.5,15.4,71,18,  0.0,False,False
2004-12-01,1020.2,23.3,21.5,19.9,16.3,72,32,  0.0,False,False
2004-12-02,1019.5,24.4,22.0,20.2,17.5,76,31,  0.0,False,False
2004-12-03,1012.4,25.8,23.3,20.6,15.3,62,72,  0.0,False,False
2004-12-04,1013.6,24.6,22.1,19.1,12.0,53,11,  0.0,False,False
2004-12-05,1019.9,21.4,19.3,17.2, 9.7,54,28,0.02,False,False
2004-12-06,1023.8,20.9,19.5,18.1,13.6,69,39,0.02,False,False
2004-12-07,1023.7,21.5,19.4,18.0, 8.3,50,72,  0.0,False,False
2004-12-08,1022.3,20.5,18.3,16.1, 9.0,55,15,  0.0,False,False
2004-12-09,1021.7,20.8,18.8,16.7,11.8,65, 3,  0.0,False,False
2004-12-10,1022.1,21.4,19.3,17.3,12.9,67, 5,  0.0,False,False
2004-12-11,1022.5,21.3,19.4,17.9,14.3,73,12,  0.0,False,False
2004-12-12,1022.4,23.3,20.5,18.0,10.3,55, 4,  0.0,False,False
2004-12-13,1021.5,21.2,19.2,17.0,11.0,60,21,  0.0,False,False
2004-12-14,1018.7,20.9,19.2,17.3,13.9,72,26,0.02,False,False
2004-12-15,1017.2,23.0,20.4,18.4,16.1,77,14,  0.0,False,False
2004-12-16,1018.6,22.1,20.3,18.8,15.5,75,29,  0.0,False,False
