Start,End
2004-12-28 13:15,2005-01-02 16:30
2005-01-02 23:55,2005-01-03 11:30
2005-01-12 16:30,2005-01-17 11:30
2005-01-30 23:25,2005-02-03 16:15
2005-02-18 08:00,2005-02-23 06:00
2005-02-26 23:25,2005-03-01 11:45
2005-03-02 16:30,2005-03-07 09:45
2005-03-12 06:00,2005-03-15 09:00
2005-12-05 16:00,2005-12-07 11:45
2005-12-14 16:00,2005-12-16 11:30
2005-12-17 16:30,2005-12-19 11:30
2005-12-21 16:00,2005-12-23 11:30
2006-01-05 16:20,2006-01-09 16:45
2006-01-20 16:20,2006-01-24 23:15
2006-02-28 07:30,2006-03-03 09:30
2006-03-12 16:15,2006-03-14 16:10
2006-12-16 16:20,2006-12-18 10:45
2007-01-05 16:20,2007-01-09 10:45
2007-01-26 16:20,2007-01-30 10:45
2007-03-07 04:00,2007-03-08 09:45
2007-04-03 21:30,2007-04-04 11:45
2007-12-30 16:20,2008-01-04 09:45
2008-01-13 16:20,2008-01-14 09:50
2008-01-15 16:20,2008-01-18 10:20
2008-01-24 15:00,2008-02-18 09:30
2008-02-26 16:20,2008-02-28 11:30
2008-11-28 16:20,2008-11-29 08:45
2008-12-05 16:20,2008-12-06 08:00
2008-12-22 16:20,2008-12-24 06:00
2008-12-30 16:20,2009-01-03 10:45
2009-01-08 16:20,2009-01-16 09:45
2009-01-23 16:30,2009-01-28 11:00
2009-11-16 16:20,2009-11-19 11:30
2009-11-20 16:15,2009-11-21 11:45
2009-12-15 16:20,2009-12-21 11:40
2009-12-27 16:20,2009-12-29 06:00
2010-01-06 16:20,2010-01-08 12:00
2010-01-11 11:45,2010-01-14 09:20
2010-02-12 16:20,2010-02-13 16:20
2010-02-14 16:20,2010-02-20 12:00
2010-03-08 16:20,2010-03-11 11:25
2010-12-15 16:20,2010-12-18 10:00
2010-12-25 14:30,2010-12-28 09:30
2010-12-30 16:20,2011-01-02 07:45
2011-01-03 16:20,2011-01-14 06:00
2011-01-14 16:20,2011-01-25 11:45
2011-01-28 16:20,2011-02-03 09:45
2011-02-11 16:20,2011-02-16 16:20
2011-02-19 11:45,2011-02-21 07:45
2011-03-15 16:30,2011-03-16 12:15
2011-12-03 01:20,2011-12-03 10:15
2011-12-09 16:20,2011-12-12 10:45
2011-12-23 16:20,2011-12-26 07:45
2012-01-03 16:20,2012-01-07 11:00
2012-01-21 16:20,2012-01-27 12:00
2012-01-30 16:20,2012-01-31 08:45
2012-02-07 16:20,2012-02-11 15:10
2012-02-16 16:20,2012-02-20 08:00
2012-02-26 07:45,2012-02-28 16:20
2012-03-09 19:45,2012-03-13 11:45
2012-12-18 16:20,2012-12-19 10:45
2012-12-22 16:20,2012-12-25 07:45
2012-12-29 16:20,2013-01-01 14:20
2013-01-03 16:20,2013-01-06 11:45
2013-01-17 16:20,2013-01-18 10:00
2013-02-08 16:20,2013-02-10 09:45
2013-11-28 16:20,2013-11-29 11:45
2013-12-16 07:45,2013-12-25 10:15
2013-12-26 16:20,2014-01-01 10:00
2014-01-13 16:20,2014-01-16 10:30
2014-01-17 16:20,2014-01-19 10:30
2014-01-20 16:20,2014-01-23 10:40
2014-02-09 07:45,2014-02-16 10:15
2014-02-18 11:45,2014-02-21 11:30
2014-12-03 16:20,2014-12-05 11:45
2014-12-13 04:25,2014-12-13 11:45
2014-12-16 16:20,2014-12-20 10:30
2014-12-21 16:20,2014-12-22 11:45
2014-12-28 16:20,2014-12-30 11:30
2014-12-31 16:20,2015-01-02 06:00
2015-01-12 12:00,2015-01-16 08:00
2015-02-04 16:20,2015-02-07 07:45
2015-12-16 16:20,2015-12-19 10:45
2016-01-18 04:45,2016-01-18 11:45
2016-01-21 16:20,2016-01-27 12:15
2016-01-31 16:20,2016-02-09 10:00
2016-02-14 16:20,2016-02-18 16:15
2016-02-23 16:20,2016-02-25 14:15
2016-03-09 16:20,2016-03-12 11:45
2016-03-24 11:30,2016-03-27 08:30
2016-12-27 16:20,2016-12-29 09:30
2017-01-21 16:20,2017-01-22 09:45
2017-02-08 16:20,2017-02-12 10:10
2017-02-23 16:20,2017-02-27 07:15
2017-12-16 16:20,2017-12-21 11:00
2018-01-08 06:00,2018-01-14 11:00
2018-01-28 12:00,2018-02-08 11:15
2018-02-10 16:20,2018-02-13 09:55
2018-03-08 06:00,2018-03-09 11:00
2018-12-28 20:00,2019-01-02 16:20
2019-12-04 20:30,2019-12-08 09:30
2020-01-26 16:20,2020-02-01 09:15
2020-02-15 16:20,2020-02-19 09:15
2020-12-16 22:00,2020-12-17 11:30
2020-12-19 05:15,2020-12-21 09:30
2020-12-29 16:20,2021-01-03 09:30
2021-01-07 16:20,2021-01-15 08:45
2021-01-17 16:20,2021-01-19 09:45
2021-12-26 11:00,2021-12-28 11:45
2022-01-29 16:20,2022-02-05 09:45
2022-02-18 16:20,2022-02-25 09:45
2022-12-13 16:20,2022-12-15 11:45
2022-12-16 16:20,2022-12-20 09:15
2022-12-31 06:05,2022-12-31 11:45
2023-01-15 16:20,2023-01-18 11:15
2023-01-24 12:00,2023-01-26 11:30
2023-01-27 12:00,2023-01-30 09:45
2023-02-14 16:20,2023-02-15 10:10
2023-12-16 06:00,2023-12-18 08:15
2023-12-19 16:20,2023-12-25 13:20
2024-01-22 06:00,2024-01-26 11:45
2024-01-27 19:30,2024-01-28 14:00
2024-02-07 16:20,2024-02-11 09:45
2024-02-29 16:20,2024-03-03 10:15
