Start,End
2005-07-04 14:05,2005-07-06 19:05
2005-07-16 11:45,2005-07-21 16:30
2005-08-04 06:30,2005-08-04 17:45
2005-08-06 14:25,2005-08-06 18:25
2005-09-01 06:45,2005-09-01 16:30
2005-09-22 11:00,2005-09-22 20:00
2006-06-23 16:30,2006-06-25 16:20
2006-07-12 06:35,2006-07-13 23:15
2006-07-24 06:00,2006-07-25 19:30
2007-05-26 12:45,2007-05-26 16:20
2007-05-29 13:30,2007-05-30 16:20
2007-06-01 14:35,2007-06-02 16:30
2007-06-03 07:45,2007-06-03 16:20
2007-06-21 09:55,2007-06-21 13:45
2007-07-14 14:35,2007-07-15 06:45
2007-07-15 13:45,2007-07-16 16:20
2007-07-24 14:20,2007-08-05 12:30
2007-08-18 15:30,2007-08-18 21:45
2008-06-21 06:30,2008-06-23 16:40
2008-07-21 14:30,2008-07-22 16:20
2008-07-26 16:20,2008-07-28 23:15
2008-08-03 14:30,2008-08-04 18:00
2008-08-18 14:00,2008-08-21 07:45
2008-08-21 14:35,2008-08-21 20:15
2008-09-13 13:00,2008-09-14 18:00
2008-09-15 13:25,2008-09-16 17:55
2008-09-17 11:45,2008-09-18 08:45
2008-09-22 15:25,2008-09-23 06:45
2009-07-09 15:20,2009-07-10 23:45
2009-07-13 15:15,2009-07-14 16:10
2009-07-16 12:00,2009-07-18 15:50
2009-07-26 12:45,2009-07-26 14:30
2009-08-01 06:45,2009-08-03 15:40
2009-08-07 14:00,2009-08-10 11:25
2009-08-20 12:05,2009-08-23 16:20
2009-08-25 13:50,2009-08-29 15:45
2009-08-30 13:35,2009-08-30 16:20
2009-08-31 11:45,2009-08-31 16:20
2009-09-01 13:20,2009-09-01 16:20
2009-09-02 09:45,2009-09-09 05:45
2009-09-13 06:45,2009-09-13 16:45
2009-09-18 06:45,2009-09-19 17:10
2009-09-26 11:45,2009-09-27 11:00
2010-07-01 07:45,2010-07-01 17:00
2010-07-03 09:45,2010-07-03 16:20
2010-07-04 07:45,2010-07-06 17:00
2010-07-08 11:30,2010-07-09 16:20
2010-07-11 11:30,2010-07-11 17:00
2010-07-12 08:00,2010-07-15 06:00
2010-07-19 13:45,2010-07-20 17:45
2010-07-25 11:00,2010-07-25 17:00
2010-07-31 10:45,2010-08-02 09:45
2010-08-03 11:30,2010-08-05 16:30
2010-08-09 11:45,2010-08-09 16:20
